Treat,Cut,Si,year
CHK,0C,4.74977305,2018
T,0C,3.685943262,2018
Si,0C,6.94835461,2018
TSi,0C,6.664666667,2018
CHK,1C,4.111475177,2018
T,1C,4.040553191,2018
Si,1C,6.380978723,2018
TSi,1C,6.522822695,2018
CHK,2C,4.537007092,2018
T,2C,3.89870922,2018
Si,2C,7.090198582,2018
TSi,2C,6.593744681,2018
CHK,0C,5.033460993,2018
T,0C,3.685943262,2018
Si,0C,6.877432624,2018
TSi,0C,6.877432624,2018
CHK,1C,4.537007092,2018
T,1C,4.182397163,2018
Si,1C,6.664666667,2018
TSi,1C,6.664666667,2018
CHK,2C,4.537007092,2018
T,2C,3.969631206,2018
Si,2C,8.508638298,2018
TSi,2C,6.239134752,2018
CHK,0C,4.820695035,2018
T,0C,3.544099291,2018
Si,0C,7.019276596,2018
TSi,0C,6.877432624,2018
CHK,1C,4.395163121,2018
T,1C,4.111475177,2018
Si,1C,6.735588652,2018
TSi,1C,6.593744681,2018
CHK,2C,4.74977305,2018
T,2C,3.756865248,2018
Si,2C,7.79941844,2018
TSi,2C,6.522822695,2018
CHK,0C,3.685943262,2019
T,0C,3.118567376,2019
Si,0C,6.239134752,2019
TSi,0C,6.593744681,2019
CHK,1C,3.827787234,2019
T,1C,3.827787234,2019
Si,1C,6.735588652,2019
TSi,1C,6.735588652,2019
CHK,2C,3.402255319,2019
T,2C,3.118567376,2019
Si,2C,8.083106383,2019
TSi,2C,6.593744681,2019
CHK,0C,3.827787234,2019
T,0C,3.189489362,2019
Si,0C,5.955446809,2019
TSi,0C,6.664666667,2019
CHK,1C,2.976723404,2019
T,1C,3.756865248,2019
Si,1C,6.239134752,2019
TSi,1C,6.310056738,2019
CHK,2C,3.827787234,2019
T,2C,3.473177305,2019
Si,2C,6.94835461,2019
TSi,2C,6.877432624,2019
CHK,0C,3.756865248,2019
T,0C,3.756865248,2019
Si,0C,5.955446809,2019
TSi,0C,6.94835461,2019
CHK,1C,3.402255319,2019
T,1C,4.111475177,2019
Si,1C,6.451900709,2019
TSi,1C,6.522822695,2019
CHK,2C,3.827787234,2019
T,2C,3.473177305,2019
Si,2C,7.161120567,2019
TSi,2C,6.664666667,2019
