Date,Tmax,Tmin,Rain,RH
03-01,30.4,16.7,0,65.8
03-02,32.3,17.9,0,71.4
03-03,26.7,15.8,0,79.6
03-04,32,17.6,0,83
03-05,30.7,22.6,0.2,84.6
03-06,31.4,20.3,0,85.4
03-07,34.2,21.1,0.2,80.9
03-08,27.7,20.2,10.4,85.7
03-09,23.4,17.2,1.2,81.6
03-10,23.9,16.8,0,77.8
03-11,25.6,15.7,0,78.5
03-12,27.7,17.9,0,85.2
03-13,27.8,20.4,0.2,75.3
03-14,25.8,17.1,0,78.8
03-15,28.6,16.4,0,79.5
03-16,28.6,16.9,0.2,85.9
03-17,25.6,20.8,5.6,90.3
03-18,26,20.4,25.2,90.2
03-19,26.1,17.2,0,83.9
03-20,22.4,14.4,0.4,82.5
03-21,23,12.3,0,74.4
03-22,24.7,12.8,0,79.8
03-23,26.6,14.1,0,77.8
03-24,29.6,16.2,0,68.8
03-25,22.3,13.4,0,74
03-26,23.1,15.1,5.4,86.4
03-27,24.2,15.4,0.6,82.6
03-28,24.3,14.7,0,82.2
03-29,25.9,19.1,0,82.6
03-30,26.6,17,4.4,87
03-31,29.3,19.1,0,84.7
04-01,28.2,19.6,0.2,86.7
04-02,31.2,19.8,0.2,84
04-03,30.1,21.4,0,81.2
04-04,31.8,21.2,16.8,85.3
04-05,23.6,17.8,2.8,85.5
04-06,19.9,15.7,6.4,88.6
04-07,23.6,17.2,0,84.4
04-08,24.7,14.1,0.2,81.8
04-09,25.2,13.3,0.2,83.2
04-10,27.6,17,0,80.1
04-11,30.7,16.1,0.2,79.4
04-12,23.8,16.4,0,84.2
04-13,25.8,13.7,0,87.5
04-14,31.1,20.8,0,81.7
04-15,25.8,18.6,9.2,84.9
04-16,21.9,15.8,53.6,85.1
04-17,24.1,14.8,0,85.5
04-18,24.2,14.6,0.2,83.5
04-19,26.2,15.4,0.2,79.4
04-20,29.1,15.5,0,79.5
04-21,21.4,12.6,0,81.8
04-22,21.9,11.9,0,81.4
04-23,20.5,12.2,0.6,86.8
04-24,20.5,18.2,1.2,92.1
04-25,21.2,18.1,9.2,91.8
04-26,21.1,18.4,64,94.6
04-27,23.9,19,3,90.5
04-28,22.6,14.4,0,84.8
